Title,Rank,Artist,URL,Trend,Streams,Streams increase since last release,Weeks in top 200,Consecutive weeks in top 200,Best rank,Prior rank,Rank change,Up or down,Song rank in next top 200 release,Streams in next release,In next release
Young Dumb & Broke,9,Khalid,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,MOVE_UP,"734,845","69,299",269,265,5,14,-5,1,19,593656,1
Silence,27,"Marshmello, Khalid",https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,MOVE_UP,"536,533","-2,703",144,144,7,32,-5,1,31,529789,1
Bad and Boujee (feat. Lil Uzi Vert),71,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,MOVE_UP,"312,582","44,685",362,7,1,93,-22,1,109,239131,1
Lemon,166,"N.E.R.D, Rihanna, Pharrell Williams",https://open.spotify.com/track/4PpuH4mxL0rD35mOWaLoKS,MOVE_UP,"187,166",-98,16,7,139,175,-9,1,189,174152,1
New Rules,22,Dua Lipa,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,MOVE_DOWN,"570,070","-107,936",176,176,11,11,11,-1,25,600142,1
LOVE. FEAT. ZACARI.,27,Kendrick Lamar,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,MOVE_UP,"550,595","26,859",261,261,5,30,-3,1,20,620196,1
Location,41,Khalid,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,MOVE_UP,"437,752","25,657",363,363,9,44,-3,1,41,456984,1
Wanted You (feat. Lil Uzi Vert),42,NAV,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1,MOVE_UP,"432,625","42,652",53,53,23,49,-7,1,42,449204,1
Perfect Duet (Ed Sheeran & Beyoncé),48,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,MOVE_UP,"393,587","66,139",33,33,3,66,-18,1,47,429734,1
Ghostface Killers,56,"21 Savage, Offset, Metro Boomin, Travis Scott",https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub,MOVE_UP,"348,402",949,64,64,2,58,-2,1,54,374593,1
Échame La Culpa,77,"Luis Fonsi, Demi Lovato",https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,MOVE_UP,"279,946","5,855",46,8,47,85,-8,1,80,298815,1
Losin Control,88,Russ,https://open.spotify.com/track/4cxMGhkinTocPSVVKWIw0d,MOVE_UP,"263,122","44,852",340,239,58,132,-44,1,91,277695,1
I Like Me Better,123,Lauv,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,MOVE_UP,"226,812","42,156",209,8,30,174,-51,1,116,248079,1
The Weekend - Funk Wav Remix,137,"SZA, Calvin Harris",https://open.spotify.com/track/0P6AWOA4LG1XOctzaVu5tt,NEW_ENTRY,"213,623","113,623",6,1,137,201,-64,1,129,235136,1
"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",147,Chris Brown,https://open.spotify.com/track/5gx2E5aIXMRBellPZW1up5,MOVE_DOWN,"201,649","-32,309",62,8,70,118,29,-1,143,219728,1
Love Scars,154,Trippie Redd,https://open.spotify.com/track/0AICBlLzFCTpUqmAbtzB2z,MOVE_UP,"198,648","21,056",100,8,128,186,-32,1,160,207548,1
Motorcycle Patches,158,"Huncho Jack, Travis Scott, Quavo",https://open.spotify.com/track/7g7raxdQpiLZT7aOlib4S1,MOVE_UP,"194,442","12,702",11,11,29,179,-21,1,157,207914,1
Meant to Be (feat. Florida Georgia Line),18,Bebe Rexha,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,MOVE_DOWN,"626,535","22,867",117,117,17,17,1,-1,18,624326,1
MotorSport,19,"Migos, Nicki Minaj, Cardi B",https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q,MOVE_UP,"624,999","58,630",69,69,8,23,-4,1,21,599967,1
LOVE. FEAT. ZACARI.,20,Kendrick Lamar,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,MOVE_UP,"620,196","69,601",262,262,5,27,-7,1,12,701543,1
I Get the Bag (feat. Migos),35,Gucci Mane,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0,SAME_POSITION,"506,736","39,717",83,83,7,35,0,0,38,491627,1
Never Enough,84,Loren Allred,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J,MOVE_UP,"284,931","29,314",7,7,84,93,-9,1,90,277539,1
A Million Dreams,92,"Ziv Zaifman, Hugh Jackman, Michelle Williams",https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z,MOVE_UP,"277,493","28,564",6,6,92,102,-10,1,95,268553,1
So Far Away (feat. Jamie Scott & Romy Dya),108,"Martin Garrix, David Guetta",https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM,MOVE_DOWN,"258,495","3,370",30,9,75,95,13,-1,91,275206,1
Everybody Dies In Their Nightmares,133,XXXTENTACION,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,MOVE_DOWN,"231,215","9,614",132,132,15,128,5,-1,129,228070,1
Let You Down,10,NF,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,MOVE_UP,"719,827","39,091",83,82,9,12,-2,1,13,747945,1
XO Tour Llif3,13,Lil Uzi Vert,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,MOVE_DOWN,"671,790","-10,885",133,133,2,11,2,-1,17,694844,1
Congratulations,27,"Post Malone, Quavo",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,SAME_POSITION,"574,453","-12,787",366,366,5,27,0,0,29,597460,1
Thunder,40,Imagine Dragons,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,MOVE_DOWN,"461,028","-9,814",217,214,16,38,2,-1,45,474956,1
Stir Fry,44,Migos,https://open.spotify.com/track/4fndbjoz1qJyK6JcLdKfzm,MOVE_DOWN,"435,170","-6,796",14,14,43,43,1,-1,43,480655,1
Saint,52,"Huncho Jack, Travis Scott, Quavo",https://open.spotify.com/track/7foypmc7KZyU716Yv63BPe,MOVE_DOWN,"374,822","-22,471",13,13,34,50,2,-1,55,393966,1
Feel It Still,65,Portugal. The Man,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,MOVE_DOWN,"331,010","-43,270",203,203,13,55,10,-1,69,337407,1
Sober,72,"G-Eazy, Charlie Puth",https://open.spotify.com/track/3qk4wRMDlaeagZGjSYbsOV,MOVE_DOWN,"314,422",336,21,21,50,71,1,-1,76,325262,1
Mask Off,89,Future,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx,MOVE_DOWN,"277,658","-5,349",58,58,62,86,3,-1,92,286246,1
That's What I Like,96,Bruno Mars,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,MOVE_UP,"267,746","22,087",365,10,3,120,-24,1,91,288742,1
The Race,131,Tay-K,https://open.spotify.com/track/3wGXyJGsCf1myH5MooQIqE,SAME_POSITION,"227,156","-5,497",22,22,96,131,0,0,135,239406,1
Slow Hands,141,Niall Horan,https://open.spotify.com/track/38yBBH2jacvDxrznF7h08J,MOVE_DOWN,"214,132","-6,690",74,10,45,140,1,-1,152,214878,1
All The Stars (with SZA),142,Kendrick Lamar,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y,NEW_ENTRY,"212,913","112,913",1,1,142,201,-59,1,201,100000,0
First Day Out,171,Tee Grizzley,https://open.spotify.com/track/3muBQDekYAg7jm6hDu6R0Z,MOVE_UP,"191,298","1,828",320,10,67,182,-11,1,174,197929,1
Most Girls,195,Hailee Steinfeld,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ,MOVE_DOWN,"178,889","-6,887",204,5,51,191,4,-1,201,100000,0
Heaven,199,Kane Brown,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7,NEW_ENTRY,"176,724","76,724",1,1,199,201,-2,1,201,100000,0
Filthy,7,Justin Timberlake,https://open.spotify.com/track/1L3NV7VrCiuE8C5QlhdeQL,NEW_ENTRY,"984,283","884,283",1,1,7,201,-194,1,9,805467,1
The Weekend,99,SZA,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57,MOVE_UP,"276,045","14,881",184,166,75,101,-2,1,101,260760,1
Love Scars,153,Trippie Redd,https://open.spotify.com/track/0AICBlLzFCTpUqmAbtzB2z,MOVE_UP,"214,423","9,794",103,11,128,154,-1,1,150,204232,1
Don't,176,Bryson Tiller,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,MOVE_DOWN,"197,541","5,619",352,4,77,170,6,-1,170,189306,1
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",189,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,MOVE_DOWN,"190,024","4,293",346,11,3,182,7,-1,182,180315,1
Tightrope,197,Michelle Williams,https://open.spotify.com/track/0GVuLQtPXFaL18ijEOqoAa,MOVE_DOWN,"186,326","2,805",4,4,183,187,10,-1,196,174100,1
Drowning (feat. Kodak Black),63,A Boogie Wit da Hoodie,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI,MOVE_DOWN,"348,925","-11,728",100,100,18,62,1,-1,60,323440,1
Go Legend (& Metro Boomin),73,"Big Sean, Travis Scott",https://open.spotify.com/track/3wAI7MIQtTgwcRmwchPZBc,MOVE_UP,"317,133","1,488",29,29,14,78,-5,1,85,266272,1
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",98,DJ Khaled,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817,MOVE_UP,"262,866",554,218,12,2,111,-13,1,102,241671,1
Relationship (feat. Future),100,Young Thug,https://open.spotify.com/track/25oOaleife6E2MIKmFkPvg,MOVE_UP,"261,281","-12,075",205,205,53,101,-1,1,105,238942,1
Dusk Till Dawn - Radio Edit,117,"ZAYN, Sia",https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,MOVE_UP,"241,022","-15,395",120,12,15,119,-2,1,117,227663,1
...Ready For It?,130,Taylor Swift,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5,MOVE_DOWN,"229,267","-13,836",34,12,58,128,2,-1,134,206318,1
